split,Rule_Index,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,127,1,1,0,100.0,0.0557471918822666,0.0557471918822666,inf,1,0,0
train,128,2,2,0,100.0,15.30241782867821,7.651208914339105,inf,2,0,0
train,129,1,1,0,100.0,3.9326270251462,3.9326270251462,inf,1,0,0
train,130,1,1,0,100.0,0.0514614105177743,0.0514614105177743,inf,1,0,0
train,131,1,1,0,100.0,2.454451515853959,2.454451515853959,inf,1,0,0
train,132,1,1,0,100.0,4.692493232403366,4.692493232403366,inf,1,0,0
train,133,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,134,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,135,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,136,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,137,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,138,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,139,2,2,0,100.0,24.128116012932196,12.064058006466098,inf,2,0,0
train,140,1,1,0,100.0,6.204545062598391,6.204545062598391,inf,1,0,0
train,141,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,142,4,3,1,75.0,15.491235215798401,3.8728088039496003,4.1996211293681815,2,1,1
train,143,1,0,1,0.0,-2.5757252582415617,-2.5757252582415617,0.0,0,1,0
train,144,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,145,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,146,4,3,1,75.0,29.033628440469435,7.258407110117359,12.67384936085366,3,1,0
train,147,3,2,1,66.66666666666666,7.16679516487188,2.38893172162396,3.223061315602109,2,1,0
train,148,6,5,1,83.33333333333334,50.690472361774006,8.448412060295668,181.86521829205935,5,1,0
train,149,9,7,2,77.77777777777779,70.0260453283693,7.780671703152145,6.700364418947745,7,2,0
train,150,2,2,0,100.0,4.167378322720388,2.083689161360194,inf,2,0,0
train,151,3,2,1,66.66666666666666,9.737017905018071,3.2456726350060237,93.7995146867257,2,1,0
train,152,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,153,4,3,1,75.0,10.130019648199738,2.5325049120499346,7.219387371874482,3,1,0
train,154,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,155,3,3,0,100.0,17.904141315184674,5.968047105061558,inf,2,0,1
train,156,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,157,7,5,2,71.42857142857143,84.04647905933282,12.006639865618975,13.38419354483281,3,1,3
train,158,9,8,1,88.88888888888889,71.3942976197888,7.932699735532089,11.372048164971776,8,1,0
train,159,8,8,0,100.0,74.78571854850091,9.348214818562614,inf,8,0,0
train,160,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,161,2,1,1,50.0,13.69396997794958,6.84698498897479,7.79083875713047,1,1,0
train,162,6,4,2,66.66666666666666,79.01569885118322,13.16928314186387,11.473674484140265,4,2,0
