datetime,symbol,open,high,low,close,volume,ff_donchian_width_20,ff_ema_spread_21_55,ff_relative_volume_20,ff_volume_regime_20,ff_bollinger_width_20,ff_volume_oscillator_5_20,ff_ema_stack_8_21_55,ff_volume_trailing_rank_50,ff_kama_distance_10,ff_roc_16,ff_ema_spread_8_21,ff_support_distance_20,ff_cvd_proxy_10,ff_rsi_7_level,ff_channel_midpoint_bias_20,ff_price_vs_ema_20,ff_rsi_14_midline_cross,ff_roc_8
2025-01-04 16:15:00,ETHUSDT,3613.81,3628.23,3613.66,3621.23,4024.4968,1,5,2,0,1,5,1,4,-2,-1,1,5,-1,0,0,0,1,-1
2025-01-04 16:30:00,BTCUSDT,97703.11,97703.11,97549.99,97636.42,311.86651,1,-2,4,1,1,5,-1,4,-5,-1,-3,4,-2,0,-1,-1,0,-1
2025-01-04 16:30:00,ETHUSDT,3621.23,3622.0,3610.0,3618.79,3549.0712,1,5,2,-1,1,4,1,3,-2,-1,1,5,-1,0,0,0,0,-1
2025-01-04 16:45:00,BTCUSDT,97636.41,97729.14,97622.66,97704.6,57.92078,1,-3,1,-1,1,3,-1,0,-4,-1,-3,5,-2,0,-1,-1,0,-1
2025-01-04 16:45:00,ETHUSDT,3618.78,3625.97,3616.68,3622.09,2429.6917,1,5,2,-1,1,-1,1,3,-1,-1,1,5,-1,0,0,0,1,-1
2025-01-04 17:00:00,BTCUSDT,97704.6,97801.27,97687.77,97774.69,56.63737,1,-3,1,-1,1,1,-1,0,-2,-1,-3,5,-2,0,0,0,0,-1
2025-01-04 17:00:00,ETHUSDT,3622.09,3632.2,3620.01,3627.88,2070.8094,1,5,1,-1,1,-4,1,2,2,-1,1,5,-1,0,0,1,1,-1
2025-01-04 17:15:00,BTCUSDT,97774.69,97826.81,97774.69,97780.29,48.93823,1,-3,1,-1,1,-1,-1,0,-2,-1,-2,5,-2,0,0,0,0,-1
2025-01-04 17:15:00,ETHUSDT,3627.9,3631.17,3622.82,3623.21,1641.076,1,5,1,-1,1,-4,1,1,-1,-1,1,5,-1,0,0,0,1,-1
2025-01-04 17:30:00,BTCUSDT,97780.28,97909.1,97752.02,97877.01,67.34654,1,-3,2,-1,1,-1,-1,1,2,1,-2,5,-2,0,0,1,1,1
2025-01-04 17:30:00,ETHUSDT,3623.2,3630.62,3620.78,3625.53,2227.0204,1,5,2,-1,1,-4,1,2,1,-1,1,5,-1,0,0,0,1,1
2025-01-04 17:45:00,BTCUSDT,97877.0,98049.99,97865.89,98016.26,78.52491,1,-2,2,-1,1,-5,-1,2,5,1,-1,5,-1,1,1,1,1,1
2025-01-04 17:45:00,ETHUSDT,3625.52,3634.1,3623.96,3633.31,1504.0969,1,5,1,-1,1,-5,1,1,4,-1,1,5,1,0,0,1,1,1
2025-01-04 18:00:00,BTCUSDT,98016.26,98084.16,97962.67,98065.12,67.06059,1,-2,2,-1,1,-5,0,1,5,1,1,5,2,1,2,1,1,1
2025-01-04 18:00:00,ETHUSDT,3633.32,3644.54,3630.0,3637.77,2216.5558,1,5,2,-1,1,-5,1,2,4,1,2,5,4,0,1,1,1,1
2025-01-04 18:15:00,BTCUSDT,98065.13,98139.13,98042.19,98057.28,75.16593,1,-1,2,-1,1,-5,0,2,5,1,2,5,1,1,2,1,1,1
2025-01-04 18:15:00,ETHUSDT,3637.77,3640.96,3634.2,3635.65,1451.1842,1,5,1,-1,1,-5,1,0,3,-1,2,5,3,0,0,1,1,1
2025-01-04 18:30:00,BTCUSDT,98057.27,98098.39,97976.74,98046.4,38.99403,1,-1,1,-1,1,-5,0,0,5,-1,3,5,-1,1,2,1,1,1
2025-01-04 18:30:00,ETHUSDT,3635.64,3636.98,3626.48,3629.75,1153.4656,1,5,1,-1,1,-5,1,0,1,-1,2,5,2,0,0,0,1,1
2025-01-04 18:45:00,BTCUSDT,98046.4,98064.01,97909.85,97961.56,55.99742,1,-1,2,-1,1,-5,0,0,2,-1,2,5,-1,0,1,1,1,1
2025-01-04 18:45:00,ETHUSDT,3629.74,3630.24,3619.61,3626.73,1120.8066,1,5,1,-1,1,-5,1,0,-1,-1,2,5,1,0,0,0,1,1
2025-01-04 19:00:00,BTCUSDT,97961.56,98123.44,97931.23,98123.44,67.66742,1,1,2,-1,1,-5,1,1,5,1,3,5,3,1,2,1,1,1
2025-01-04 19:00:00,ETHUSDT,3626.73,3632.77,3624.24,3632.76,1391.1233,1,5,1,-1,1,-5,1,1,2,-1,2,5,2,0,0,1,1,1
2025-01-04 19:15:00,BTCUSDT,98123.43,98350.0,98123.43,98167.17,147.40616,1,1,3,1,1,-3,1,4,5,1,3,5,3,1,2,1,1,1
2025-01-04 19:15:00,ETHUSDT,3632.77,3639.39,3629.33,3631.1,1267.0926,1,5,1,-1,1,-5,1,0,1,-1,2,5,1,0,0,0,1,1
2025-01-04 19:30:00,BTCUSDT,98167.17,98264.24,98119.58,98140.97,51.46608,1,1,1,-1,1,-4,1,0,4,1,4,5,2,1,1,1,1,1
